title,link,description,cap_xet_xu,ap_dung_an_le,loai,dinh_chinh,thong_tin,pdf_link
Bản án:số 414 ngày 24/04/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1896272t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp về thừa kế tài sản,Phúc thẩm,Không,Dân sự,0,Thông tin về vụ/việc:Không chấp nhận kháng cáo của ông Nguyễn Văn T,https://congbobanan.toaan.gov.vn/5ta1896272t1cvn/414_2025_DSPT_0.pdf
Bản án:số 734 ngày 08/07/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1896110t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp về chia tài sản chung,Phúc thẩm,Không,Dân sự,0,Thông tin về vụ/việc:Chấp nhận yêu cầu kháng cáo của bị đơn,https://congbobanan.toaan.gov.vn/5ta1896110t1cvn/734_2025_DSPT_0.pdf
Quyết định:số 615 ngày 04/06/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1895988t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng vay tài sản,Phúc thẩm,Không,Dân sự,0,Thông tin về vụ/việc:Đình chỉ xét xử phúc thẩm vụ án dân sự thụ lý số 451/2025/TLPT-DS,https://congbobanan.toaan.gov.vn/5ta1895988t1cvn/615_2025_DSPT_TinKhoi.pdf
Bản án:số 70 ngày 04/04/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1896042t1cvn/chi-tiet-ban-an,"Quan hệ pháp luật:Tranh chấp về thuê, cho thuê, thuê mua",Phúc thẩm,Không,Kinh doanh thương mại,0,"Thông tin về vụ/việc:không chấp nhận kháng cáo, chấp nhận một phần yêu cầu",https://congbobanan.toaan.gov.vn/5ta1896042t1cvn/70_KDTMPT_0442025_K.pdf
Bản án:số 232 ngày 31/07/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1896057t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng tín dụng,Phúc thẩm,Không,Kinh doanh thương mại,0,"Thông tin về vụ/việc:chấp nhận kháng cáo, hủy bản án",https://congbobanan.toaan.gov.vn/5ta1896057t1cvn/232_KDTMPT_3172025_K.pdf
Bản án:số 211 ngày 17/07/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1896069t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp về mua bán hàng hóa,Phúc thẩm,Không,Kinh doanh thương mại,0,Thông tin về vụ/việc:không chấp nhận kháng cáo,https://congbobanan.toaan.gov.vn/5ta1896069t1cvn/211_KDTMPT_1772025_K.pdf
Quyết định:số 232 ngày 28/07/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1896074t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Yêu cầu liên quan việc trọng tài thương mại Việt Nam giải quyết tranh chấp theo quy định của pháp luật về Trọng tài thương mại,Phúc thẩm,Không,Kinh doanh thương mại,0,Thông tin về vụ/việc:không hủy phán quyết,https://congbobanan.toaan.gov.vn/5ta1896074t1cvn/232_QDPQTT_2872025_K.pdf
Quyết định:số 5 ngày 22/05/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1895990t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Yêu cầu liên quan việc trọng tài thương mại Việt Nam giải quyết tranh chấp theo quy định của pháp luật về Trọng tài thương mại,Phúc thẩm,Không,Kinh doanh thương mại,0,"Thông tin về vụ/việc:Không chấp nhận đơn đề nghị, giữ nguyên quyết định không mở thủ tục phá sản",https://congbobanan.toaan.gov.vn/5ta1895990t1cvn/5_KDTMPT_2252025_K.pdf
Bản án:số 188 ngày 19/06/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1895957t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp về cung ứng dịch vụ,Phúc thẩm,Không,Kinh doanh thương mại,0,"Thông tin về vụ/việc:k chấp nhận kháng cáo, y án sơ thẩm",https://congbobanan.toaan.gov.vn/5ta1895957t1cvn/188_KTPT_1962025_K.pdf
Bản án:số 379 ngày 23/07/2025 của TAND TP. Hồ Chí Minh(07.09.2025),https://congbobanan.toaan.gov.vn/2ta1895250t1cvn/chi-tiet-ban-an,"Cho vay lãi nặng trong giao dịch dân sự - phạm tội cho vay nặng lãi 
                     (điều 163 Bộ luật hình sự năm 1999)",Sơ thẩm,Không,Hình sự,0,Thông tin về vụ án:Cho vay lãi nặng trong giao dịch dân sự,https://congbobanan.toaan.gov.vn/5ta1895250t1cvn/HSST_Ban_an_so_379_ngay_23_thang_7_nam_2025.pdf
Bản án:số 562 ngày 22/05/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894689t1cvn/chi-tiet-ban-an,"Quan hệ pháp luật:Đòi bồi thường thiệt hại ngoài hợp đồng về sức khỏe, tính mạng",Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:Án phí dân sự sơ thẩm: Nguyên đơn miễn án phí, Hoàn lại cho bà Ngô Thị Thanh Huyền số tiền tạm ứng án phí đã nộp là 344.000 đồng.
Án phí dân sự phúc thẩm: Nguyên đơn miễn án phí, Hoàn lại cho bà Ngô Thị Thanh Huyền số tiền tạm ứng án phí đã nộp là 300.000 đồng",https://congbobanan.toaan.gov.vn/5ta1894689t1cvn/562_DSPT_2025_KHONG_2252025_NGO_THI_THANH_HUYEN_–_TRAN_NGOC_PHUONG.pdf
Bản án:số 553 ngày 20/05/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894725t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Đòi bồi thường thiệt hại ngoài hợp đồng về tài sản,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:Án phí dân sự sơ thẩm: nguyên đơn bà Trần Thị Châu Giang được miễn. Bà được nhận lại số tiền tạm ứng án phí đã nộp là 1.017.000 đồng 
Hoàn trả cho bà Trần Thị Châu Giang số tiền tạm nộp án phí là 300.000 đồng 
Án phí dân sự phúc thẩm: nguyên đơn bà Trần Thị Châu Giang được miễn, được nhận lại số tiền tạm ứng án phí đã nộp là 300.000 đồng",https://congbobanan.toaan.gov.vn/5ta1894725t1cvn/553_DSPT_2025_KHONG_2052025_TRAN_THI_CHAU_GIANG_–_NGAN_HANG_THUONG_MAI.pdf
Quyết định:số 342 ngày 20/06/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894735t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp về thừa kế tài sản,Sơ thẩm,Không,Dân sự,0,Thông tin về vụ/việc:Án phí dân sự sơ thẩm: các đương sự phải chịu 50% mức án phí tương ứng với giá trị phần tài sản được chia.,https://congbobanan.toaan.gov.vn/5ta1894735t1cvn/342_DSST_2025_KHONG_2062025_VO_VAN_BOI_–_VO_THI_Y.pdf
Quyết định:số 624 ngày 18/08/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894746t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp về chia tài sản chung,Sơ thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:Chi phí tố tụng nguyên đơn bà Nguyễn Hoàng Lan Phương tự nguyện chịu. 
Án phí dân sự sơ thẩm: bà Nguyễn Hoàng Lan Phương và ông Nguyễn Thanh Sang được miễn nộp án phí dân sự sơ thẩm.",https://congbobanan.toaan.gov.vn/5ta1894746t1cvn/624_DSST_2025_KHONG_1882025_NGUYEN_HOANG_LAN_PHUONG_–_NGUYEN_THANH_SAN.pdf
