title,link,description,cap_xet_xu,ap_dung_an_le,loai,dinh_chinh,thong_tin,pdf_link
Bản án:số 749 ngày 11/07/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894555t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng tặng cho tài sản,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Nguyễn Thanh H
BĐ: Huỳnh Hiếu N
Quyết định:
1. Không chấp nhận kháng cáo của bà Nguyễn Thanh H
2. Giữ nguyên Bản án sơ thẩm số 2021/2023/DS-ST ngày 29-9-2023 của Tòa án nhân dân quận Bình Thạnh, Thành phố Hồ Chí Minh.
Và Quyết định sửa chữa, bổ sung bản án số 03/2025/QĐ-SCBSBA ngày 08/7/2025, Tòa án nhân dân quận Bình Thạnh (nay là Tòa án khu vực 5), Thành phố Hồ Chí Minh.
3. Kiến nghị cơ quan Thuế Thành phố Hồ Chí Minh truy thu thuế thu nhập cá nhân trong việc chuyển nhượng bất động sản đối với ông Huỳnh Hiếu N theo Hợp đồng chuyển nhượng quyền sử dụng đất và mua bán nhà ở số 000275 ngày 11/01/2019 tại Văn phòng C2 giữa Huỳnh Hiếu N và bà Hoàng Thị C với giá chuyển nhượng là 8.270.000.000 (Tám tỷ, hai trăm bảy mươi triệu) đồng.
4. Án phí dân sự phúc thẩm: 300.000 (Ba trăm nghìn) đồng bà Nguyễn Thanh H phải chịu án phí phúc thẩm nhưng được trừ vào số tiền 300.000 đồng theo Biên lai thu tạm ứng án phí, lệ phí Tòa án số 0029126 ngày 25/9/2024 của Chi cục Thi hành án dân sự quận Bình Thạnh, Thành phố Hồ Chí Minh. Bà Nguyễn Thanh H đã nộp đủ án phí phúc thẩm.",https://congbobanan.toaan.gov.vn/5ta1894555t1cvn/2BA749.pdf
Bản án:số 459 ngày 05/05/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894559t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng vay tài sản,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Tô Đức N
BĐ: Công ty TNHH MTV B1
Quyết định:
1. Không chấp nhận yêu cầu kháng cáo của bị đơn- Công ty TNHH MTV B1
2. Giữ nguyên Bản án dân sự sơ thẩm số 130/2024/DS-ST ngày 17-9-2024 của Tòa án nhân dân Quận 3, Thành phố Hồ Chí Minh.
3. Đình chỉ xét xử phúc thẩm đối với yêu cầu kháng cáo của ông Tô Đức N và kháng cáo của Công ty TNHH D.",https://congbobanan.toaan.gov.vn/5ta1894559t1cvn/4BA459.pdf
Bản án:số 859 ngày 05/08/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894567t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng chuyển nhượng quyền sử dụng đất,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Nguyễn Văn K
BĐ: Lê Ngọc M
1. Không chấp nhận kháng cáo của bị đơn bà Lê Ngọc M.
2. Giữ nguyên Bản án sơ thẩm số 180/2025/DS-ST ngày 09-4-2025 của Tòa án nhân dân Quận 12, Thành phố Hồ Chí Minh.
3. Về án phí dân sự phúc thẩm: Bà Lê Ngọc M không phải chịu án phí dân sự phúc thẩm.",https://congbobanan.toaan.gov.vn/5ta1894567t1cvn/3BA859.pdf
Bản án:số 418 ngày 25/04/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894580t1cvn/chi-tiet-ban-an,"Quan hệ pháp luật:Đòi bồi thường thiệt hại ngoài hợp đồng về danh dự, nhân phẩm, uy tín",Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Phan Thị H
       Đoàn Minh T
BĐ: Lư Thị Bạch T1
Quyết định:
1. Không chấp nhận kháng cáo ông Đoàn Minh T về việc hủy Bản án sơ thẩm số 1281/2024/DS-ST ngày 30-9-2024 của Tòa án nhân dân quận Phú Nhuận, Thành phố Hồ Chí Minh.
2. Giữ nguyên Bản án sơ thẩm số 1281/2024/DS-ST ngày 30-9-2024 của Tòa án nhân dân quận Phú Nhuận, Thành phố Hồ Chí Minh.",https://congbobanan.toaan.gov.vn/5ta1894580t1cvn/5BA418.pdf
Bản án:số 393 ngày 22/04/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894592t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng tín dụng,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Ngân Hàng Thương mai cổ phần M
BĐ: Nguyễn Xuân T
       Phạm Thị Thanh P
Quyết định:
Tuyên xử: 
1. Không chấp nhận kháng cáo của ông Lê Văn L1.
2. Giữ nguyên Bản án sơ thẩm số 487/2024/DS-ST ngày 29-10-2024 của Tòa án nhân dân Quận 10, Thành phố Hồ Chí Minh.",https://congbobanan.toaan.gov.vn/5ta1894592t1cvn/7BA393.pdf
Bản án:số 332 ngày 10/04/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894609t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp về quyền sở hữu và các quyền khác đối với tài sản,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Nguyễn Đình P
BĐ: Trần Quang L
Quyết định:
1. Chấp nhận kháng cáo của ông Nguyễn Đình P
2. Chấp nhận kháng nghị của Viện kiểm sát nhân dân huyện Nhà Bè.
3. Sửa Bản án dân sự sơ thẩm số 531/2024/DS-ST ngày 30/9/2024 của Tòa án nhân dân huyện Nhà Bè, Thành phố Hồ Chí Minh. Cụ thể:
3.1. Chấp nhận toàn bộ yêu cầu khởi kiện của ông Nguyễn Đình P
Buộc ông Trần Quang L phải trả cho ông Nguyễn Đình P số tiền 72.144.000 (Bảy mươi hai triệu, một trăm bốn mươi bốn nghìn) đồng.
3.2. Đình chỉ một phần yêu cầu của nguyên đơn đối với số tiền mua xe đạp là 48.700.000 đồng.",https://congbobanan.toaan.gov.vn/5ta1894609t1cvn/8BA332.pdf
Quyết định:số 490 ngày 09/05/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894648t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp đất đai,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Võ Thanh H
BĐ: Hồ Hữu Thanh B
1. Đình chỉ xét xử phúc thẩm vụ án dân sự thụ lý số 357/2025/TLPT-DS ngày 17/3/2025 về việc ""Tranh chấp lối đi chung""
2. Bản án dân sự sơ thẩm số 43/2025/DS-ST ngày 21/01/2025 và Quyết định sửa chữa, bổ sung bản án sơ thẩm số 47/2025/QĐ-SCBSBA ngày 13/3/2025 của Tòa án nhân dân quận Gò Vấp, Thành phố Hồ Chí Minh có hiệu lực pháp luật kể từ ngày ra quyết định này.
3. Ghi nhận sự tự nguyện của ông Võ Thanh H hỗ trợ cho ông Hồ Hữu Thanh B và bà Hồ Thị Tuyết L chi phí di dời tường rào và chi phí xây dựng cổng mới.",https://congbobanan.toaan.gov.vn/5ta1894648t1cvn/9QD490.pdf
Quyết định:số 880 ngày 08/08/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894651t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp liên quan đến yêu cầu tuyên bố văn bản công chứng vô hiệu,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Nguyễn Thị H1
BĐ: Phan Thị H
        Nguyễn Ngọc Q
Quyết định:
1. Đình chỉ xét xử phúc thẩm vụ án dân sự thụ lý số 523/2025/TLPT-DS ngày 09/6/2025 về việc “Tranh chấp liên quan đến yêu cầu tuyên bố văn bản công chứng vô hiệu”
2. Bản án dân sự sơ thẩm số Bản án dân sự sơ thẩm số 185/2025/DS-ST ngày 23/4/2025 của Tòa án nhân dân quận Gò Vấp, Thành phố Hồ Chí Minh có hiệu lực pháp luật kể từ ngày ra quyết định này.",https://congbobanan.toaan.gov.vn/5ta1894651t1cvn/10QD880.pdf
Bản án:số 685 ngày 19/06/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894658t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng hợp tác,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Nguyễn Thị Minh L
BĐ: Công ty cổ phần L1
        Ngân hàng Thương mại cổ phần S
Quyết định:
1. Không chấp nhận kháng cáo của bà Nguyễn Thị Minh L về việc sửa Bản án dân sự sơ thẩm số 908/2024/DS-ST ngày 18/12/2024 của Tòa án nhân dân quận Tân Bình, Thành phố Hồ Chí Minh
2. Hủy Bản án dân sự sơ thẩm số 908/2024/DS-ST ngày 18/12/2024 của Tòa án nhân dân quận Tân Bình, Thành phố Hồ Chí Minh. 
Giao hồ sơ vụ án về cho Tòa án nhân dân quận Tân Bình giải quyết vụ án sơ thẩm theo quy định chung.",https://congbobanan.toaan.gov.vn/5ta1894658t1cvn/6BA685.pdf
Bản án:số 561 ngày 22/05/2025 của TAND TP. Hồ Chí Minh(05.09.2025),https://congbobanan.toaan.gov.vn/2ta1893651t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng tín dụng,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Ngân hàng TMCP S2
BĐ: Lưu Thanh H, Hoàng Thị Xuân T
Quyết định:
-Chấp nhận một phần kháng cáo của các đương sự của ông Nguyễn Ắt K, ông Nguyễn Quốc Bảo T3, bà Lương Thị Thủy T1, bà Nguyễn Thị S.
-Giữ nguyên một phần Bản án dân sự sơ thẩm số 988/2024/DS-ST ngày 27/9/2024 của Tòa án nhân dân Gò Vấp, Thành phố Hồ Chí Minh về:
1. Chấp nhận yêu cầu khởi kiện của nguyên đơn.
2. Hủy một phần Bản án dân sự sơ thẩm số 988/2024/DS-ST ngày 27/9/2024 của Tòa án nhân dân Gò Vấp, Thành phố Hồ Chí Minh.
3. Giao hồ sơ thụ lý số 83/DSPT ngày 13 tháng 02 năm 2025 về việc “Tranh chấp hợp đồng tín dụng, hợp đồng thế chấp tài sản” về Tòa án nhân dân quận Gò Vấp xét xử lại theo thủ tục sơ thẩm đối với phần bản án tuyên bị hủy.
4. Đình chỉ xét xử phúc thẩm yêu cầu kháng cáo của bà Nguyễn Thị H1.",https://congbobanan.toaan.gov.vn/5ta1893651t1cvn/BA561.pdf
